,from_node,to_node,prod,flow
184,Plnt_Odawara,DC_cust16,prod91,10266951.0
185,Plnt_Osaka,DC_cust31,prod68,22984.973
186,Plnt_Osaka,DC_cust24,prod89,517995.16
187,Plnt_Chiba,DC_cust0,prod91,7083143.9
188,Plnt_Osaka,DC_cust2,prod1,1845568.4
189,Plnt_Osaka,DC_cust17,prod1,1179538.6
190,Plnt_Odawara,DC_cust3,prod81,2516170.6
191,Plnt_Odawara,DC_cust24,prod73,446966.57
192,Plnt_Odawara,DC_cust2,prod73,1037713.0
193,Plnt_Osaka,DC_cust2,prod51,3871027.6
194,Plnt_Osaka,DC_cust17,prod51,2465856.8
195,Plnt_Odawara,DC_cust3,prod89,1697122.7
196,Plnt_Osaka,DC_cust16,prod23,1193196.0
197,Plnt_Chiba,DC_cust0,prod44,4120293.5
198,Plnt_Osaka,DC_cust30,prod23,803654.79
199,Plnt_Chiba,DC_cust7,prod91,2769282.1
200,Plnt_Odawara,DC_cust30,prod63,710527.65
201,Plnt_Odawara,DC_cust24,prod46,26398234.0
202,Plnt_Chiba,DC_cust0,prod98,4521070.5
203,Plnt_Odawara,DC_cust24,prod39,526698.01
204,Plnt_Osaka,DC_cust31,prod26,22973.942
205,Plnt_Odawara,DC_cust31,prod60,14065.536
206,Plnt_Odawara,DC_cust16,prod60,1344322.1
207,Plnt_Odawara,DC_cust17,prod43,3176828.6
208,Plnt_Odawara,DC_cust7,prod1,753052.16
209,Plnt_Odawara,DC_cust17,prod44,2622914.1
210,Plnt_Odawara,DC_cust8,prod91,11233611.0
211,Plnt_Odawara,DC_cust7,prod51,1582062.4
212,Plnt_Odawara,DC_cust35,prod51,980597.57
213,Plnt_Osaka,DC_cust31,prod34,21110.838
214,Plnt_Chiba,DC_cust35,prod43,1265555.3
215,Plnt_Odawara,DC_cust17,prod98,2877422.3
216,Plnt_Osaka,DC_cust2,prod79,1549031.9
217,Plnt_Chiba,DC_cust7,prod44,1683166.4
218,Plnt_Osaka,DC_cust31,prod74,25272.239
219,Plnt_Chiba,DC_cust7,prod98,1847205.8
220,Plnt_Chiba,DC_cust3,prod71,1442754.8
221,Plnt_Osaka,DC_cust24,prod1,796226.44
222,Plnt_Odawara,DC_cust17,prod28,650022.88
223,Plnt_Osaka,DC_cust24,prod51,1671603.7
224,Plnt_Odawara,DC_cust30,prod73,625816.57
225,Plnt_Chiba,DC_cust35,prod28,253312.01
226,Plnt_Chiba,DC_cust35,prod48,510221.87
227,Plnt_Odawara,DC_cust2,prod91,7657061.2
228,Plnt_Odawara,DC_cust35,prod79,329078.59
229,Plnt_Odawara,DC_cust8,prod60,1883852.2
230,Plnt_Odawara,DC_cust3,prod1,2688054.5
231,Plnt_Odawara,DC_cust0,prod29,7672839.5
232,Plnt_Odawara,DC_cust3,prod51,5638553.1
233,Plnt_Odawara,DC_cust0,prod68,1546010.6
234,Plnt_Odawara,DC_cust24,prod43,14796981.0
235,Plnt_Odawara,DC_cust24,prod44,1778451.5
236,Plnt_Odawara,DC_cust2,prod44,4118009.2
237,Plnt_Odawara,DC_cust24,prod98,1951802.4
238,Plnt_Odawara,DC_cust2,prod98,4519329.7
239,Plnt_Osaka,DC_cust2,prod23,2203749.7
240,Plnt_Osaka,DC_cust17,prod23,788801.1
241,Plnt_Chiba,DC_cust35,prod71,504685.7
242,Plnt_Odawara,DC_cust2,prod60,952874.62
243,Plnt_Chiba,DC_cust35,prod63,295530.67
244,Plnt_Odawara,DC_cust24,prod28,436317.39
245,Plnt_Odawara,DC_cust24,prod48,873299.6
246,Plnt_Osaka,DC_cust31,prod89,17838.874
247,Plnt_Odawara,DC_cust0,prod34,1421585.8
248,Plnt_Odawara,DC_cust7,prod23,501696.51
249,Plnt_Odawara,DC_cust35,prod23,308671.68
250,Plnt_Chiba,DC_cust3,prod46,7053126.9
251,Plnt_Chiba,DC_cust3,prod39,1948292.8
252,Plnt_Osaka,DC_cust16,prod29,8155668.3
253,Plnt_Odawara,DC_cust19,prod79,401738.65
254,Plnt_Osaka,DC_cust30,prod29,3203695.2
255,Plnt_Odawara,DC_cust30,prod91,4420718.6
256,Plnt_Osaka,DC_cust16,prod68,2569665.2
257,Plnt_Odawara,DC_cust35,prod54,379416.5
258,Plnt_Odawara,DC_cust31,prod46,146945.59
259,Plnt_Odawara,DC_cust30,prod44,2479886.2
260,Plnt_Osaka,DC_cust24,prod23,3029062.8
261,Plnt_Chiba,DC_cust35,prod73,259450.82
262,Plnt_Odawara,DC_cust30,prod98,2721379.8
263,Plnt_Odawara,DC_cust35,prod81,434754.11
264,Plnt_Osaka,DC_cust16,prod26,2579397.8
265,Plnt_Odawara,DC_cust3,prod23,884943.5
266,Plnt_Odawara,DC_cust30,prod60,574564.15
267,Plnt_Osaka,DC_cust8,prod29,8779498.4
268,Plnt_Chiba,DC_cust19,prod46,2958983.8
269,Plnt_Osaka,DC_cust16,prod34,2362816.5
270,Plnt_Osaka,DC_cust30,prod34,855310.32
271,Plnt_Osaka,DC_cust8,prod68,2767206.4
272,Plnt_Osaka,DC_cust16,prod74,1639268.1
273,Plnt_Chiba,DC_cust3,prod43,3600376.0
274,Plnt_Osaka,DC_cust31,prod51,58235.549
275,Plnt_Odawara,DC_cust19,prod54,462151.17
276,Plnt_Osaka,DC_cust2,prod29,5549034.8
277,Plnt_Osaka,DC_cust8,prod26,3058297.9
278,Plnt_Osaka,DC_cust17,prod29,3124022.0
279,Plnt_Odawara,DC_cust31,prod43,75207.047
280,Plnt_Odawara,DC_cust17,prod91,4307302.8
281,Plnt_Osaka,DC_cust2,prod68,1746173.0
282,Plnt_Osaka,DC_cust17,prod68,987667.94
283,DC_cust24,Cust_cust37,prod39,101492.06
284,DC_cust19,Cust_cust19,prod28,292415.14
285,DC_cust0,Cust_cust0,prod46,6857762.4
286,DC_cust0,Cust_cust0,prod39,830052.12
287,DC_cust2,Cust_cust2,prod23,396891.37
288,DC_cust2,Cust_cust45,prod26,251307.51
289,DC_cust3,Cust_cust3,prod71,1151416.6
290,DC_cust3,Cust_cust43,prod48,348926.96
291,DC_cust30,Cust_cust29,prod71,170301.58
292,DC_cust2,Cust_cust36,prod43,93376.827
